時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:33:31.111,-46.750551342619204,-65.33181585130991
2023/02/12 04:33:31.251,-38.83087274234569,-74.80503509527964
2023/02/12 04:33:31.381,-27.80357304378809,-76.94593531940251
2023/02/12 04:33:31.515,-34.99082236281245,-76.28573521228692
2023/02/12 04:33:31.646,-36.12937837692116,-71.48153709724953
2023/02/12 04:33:31.783,-56.33893435019832,-61.08179145764361
2023/02/12 04:33:31.916,-67.9672410430329,-58.36286634292085
2023/02/12 04:33:32.052,-67.94719410972596,-58.59674016133313
2023/02/12 04:33:32.190,-35.98178978483171,-61.43607807961513
2023/02/12 04:33:32.317,-28.23829865291856,-64.92660586226006
2023/02/12 04:33:32.454,-29.666640043439937,-58.05516210365279
2023/02/12 04:33:32.582,-30.418718283680025,-67.31684864172837
2023/02/12 04:33:32.718,-39.920473282289294,-71.83844621903746
2023/02/12 04:33:32.846,-39.920473282289294,-70.20004643261115
2023/02/12 04:33:32.984,-44.04599548349897,-78.9263065682522
2023/02/12 04:33:33.114,-39.03436644406209,-73.50341414842326
2023/02/12 04:33:33.252,-42.79728895191496,-73.50341414842326
2023/02/12 04:33:33.381,-54.28580676781994,-65.75542406901813
2023/02/12 04:33:33.514,-49.07418052831697,-79.23443511689739
2023/02/12 04:33:33.648,-67.722343019603,-75.84315261755177
2023/02/12 04:33:33.773,-40.48147056239348,-77.0473861445779
2023/02/12 04:33:33.903,-37.584081404040916,-72.8004282681735
